task_id,homology_config_id,minimum_sequence_identity,minimum_coverage,seed,attempt,derived_seed,objective,feasible,train_sequences,train_positives,train_negatives,train_prevalence,train_size_deviation,train_prevalence_deviation,train_cluster_count,validation_sequences,validation_positives,validation_negatives,validation_prevalence,validation_size_deviation,validation_prevalence_deviation,validation_cluster_count,test_sequences,test_positives,test_negatives,test_prevalence,test_size_deviation,test_prevalence_deviation,test_cluster_count,maximum_split_size_deviation,maximum_prevalence_deviation,minimum_split_sequences,minimum_split_positives,minimum_split_negatives
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,0,0,0,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,27516,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,1178,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,581,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,1,0,1000003,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,27517,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,940,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,818,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,2,0,2000006,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,27516,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,876,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,883,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,3,0,3000009,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,27517,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,826,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,932,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,4,0,4000012,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,27516,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,1074,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,685,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,5,0,5000015,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,27516,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,714,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,1045,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,6,1,6000019,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,27516,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,865,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,894,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,7,0,7000021,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,27517,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,841,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,917,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,8,0,8000024,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,27516,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,902,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,857,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,9,0,9000027,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,27516,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,839,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,920,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
amp_vs_toxic_without_amp_evidence,H90,0.9,0.9,10,0,10000030,0.0016969490854209695,1,31235,24087,7148,0.7711541539939171,9.604702462418734e-06,7.406706201695812e-06,27517,6693,5161,1532,0.7711041386523233,2.2410972412038607e-05,5.742204779546345e-05,782,6693,5162,1531,0.7712535484834903,2.2410972412038607e-05,9.198778337149438e-05,976,2.2410972412038607e-05,9.198778337149438e-05,6693,5161,1531
